system,rt_exper,Pubchem,cmm_id,rt_pred
FEM_long,22.8,9983,,680.0052
FEM_long,25.895,9984,,712.7964
FEM_long,20.1,58427569,,619.24036
FEM_long,38.6,326,77230.0,920.7875
FEM_long,1.4,1101,150838.0,580.81006
MTBLS36,2.230870104,1101,150838.0,580.81006
FEM_long,1.4,993,,554.01263
FEM_long,16.1,5145,,633.7031
FEM_long,1.8,220001,,565.03766
FEM_long,1.33,152867,62971.0,562.8145
FEM_long,1.5,1143,124239.0,569.2965
FEM_long,32.5,5281708,11797.0,648.35077
RIKEN,1.57,5281708,11797.0,648.35077
UFZ_Phenomenex,21.7,5281708,11797.0,648.35077
UFZ_Phenomenex,21.7,5281708,11797.0,648.35077
FEM_long,21.595,54719604,,680.882
FEM_long,45.615,2969,25257.0,955.4386
FEM_lipids,0.0,2969,25257.0,955.4386
FEM_long,1.72,835,,588.4658
FEM_long,1.68,8021,147113.0,84.02433
FEM_long,46.1,118287,,1008.9584
FEM_long,27.82,662,105411.0,698.82434
FEM_long,54.0,3035421,,1378.7562
FEM_long,14.3,988,82086.0,592.9238
MTBLS20,4.7,988,82086.0,592.9238
MTBLS20,4.6,988,82086.0,592.9238
MTBLS87,6.1,988,82086.0,592.9238
FEM_long,46.405,3220,17544.0,841.5069
MTBLS38,10.72618087,3220,17544.0,841.5069
FEM_long,58.9,247705,,1171.649
FEM_long,31.015,11095,117924.0,773.17816
FEM_long,17.8,5351506,77913.0,640.4902
IPB_Halle,2.9,5351506,77913.0,640.4902
FEM_long,35.5,13067,180850.0,789.2155
FEM_long,56.12,11001,,1460.0562
FEM_long,55.105,31283,31619.0,1388.8236
FEM_long,38.3,7136,71599.0,809.3194
FEM_long,37.4,7020615,,923.0525
FEM_long,25.9,709,84093.0,710.1167
FEM_long,3.5425,723,,613.2385
FEM_long,12.7,6919,129260.0,620.9186
RIKEN,1.15,6919,129260.0,620.9186
MTBLS36,4.457901238,6919,129260.0,620.9186
FEM_long,12.2,7362,101179.0,655.41003
FEM_long,41.38,5281616,14357.0,848.7116
FEM_long,8.95,370,112558.0,632.5354
FEM_orbitrap_urine,2.04,370,112558.0,632.5354
PFR-TK72,1.6,370,112558.0,632.5354
Qtof-PFEM,4.98,370,112558.0,632.5354
INRA_QTOF,4.98,370,112558.0,632.5354
FEM_long,2.15,119,27405.0,233.29607
LIFE_new,0.491183333,119,27405.0,233.29607
RIKEN,0.17,119,27405.0,233.29607
Cao_HILIC,11.55,119,27405.0,233.29607
FEM_long,3.275,842,,94.78636
FEM_long,35.1,5280961,11976.0,701.28107
UFZ_Phenomenex,23.1,5280961,11976.0,701.28107
UFZ_Phenomenex,23.1,5280961,11976.0,701.28107
UniToyama_Atlantis,16.343333,5280961,11976.0,701.28107
MPI_Symmetry,13.08253333,5280961,11976.0,701.28107
Qtof-PFEM,11.53,5280961,11976.0,701.28107
INRA_QTOF,11.52,5280961,11976.0,701.28107
FEM_long,17.0,3469,120995.0,639.63226
RIKEN,1.25,3469,120995.0,639.63226
FEM_long,46.5,19633,,965.3804
FEM_long,51.3,60980,,1174.3005
FEM_long,48.2,7782,,1062.4491
FEM_long,1.4,604,123373.0,614.791
FEM_long,1.4,604,153743.0,614.791
FEM_long,1.4,604,155720.0,614.791
FEM_long,1.4,604,156240.0,614.791
FEM_long,1.4,604,156475.0,614.791
FEM_long,1.22,208,153866.0,561.9597
MTBLS36,1.549421908,208,153866.0,561.9597
MTBLS36,1.48000189,208,153866.0,561.9597
FEM_long,10.24,743,122974.0,550.32806
LIFE_new,1.32225,743,122974.0,550.32806
LIFE_old,1.3669,743,122974.0,550.32806
IPB_Halle,1.142266667,743,122974.0,550.32806
FEM_orbitrap_plasma,2.2,743,122974.0,550.32806
FEM_long,1.45,752,122540.0,564.2291
MTBLS87,10.1,752,122540.0,564.2291
MTBLS36,1.916704525,752,122540.0,564.2291
FEM_long,1.22,750,52579.0,581.8629
RIKEN,0.16,750,52579.0,581.8629
FEM_long,22.5,460,66359.0,685.4029
FEM_long,1.3,3520,149041.0,90.76955
FEM_long,3.215,764,131216.0,90.84041
MTBLS20,1.1,764,131216.0,90.84041
MTBLS38,3.066922678,764,131216.0,90.84041
MTBLS38,2.954964417,764,131216.0,90.84041
RIKEN,0.32,764,131216.0,90.84041
FEM_orbitrap_plasma,1.375,764,131216.0,90.84041
Cao_HILIC,9.81,764,131216.0,90.84041
OBSF,0.93,764,131216.0,90.84041
OBSF,3.62,764,131216.0,90.84041
FEM_long,30.885,8892,25253.0,772.97
FEM_long,15.1,8102,124117.0,572.4412
RIKEN,1.21,8102,124117.0,572.4412
FEM_long,17.28,464,91854.0,591.0071
LIFE_new,3.097416667,464,91854.0,591.0071
LIFE_old,1.7732,464,91854.0,591.0071
IPB_Halle,3.38825,464,91854.0,591.0071
MTBLS20,5.8,464,91854.0,591.0071
MTBLS87,4.4,464,91854.0,591.0071
RIKEN,1.29,464,91854.0,591.0071
FEM_orbitrap_plasma,5.51,464,91854.0,591.0071
FEM_orbitrap_urine,5.97,464,91854.0,591.0071
FEM_orbitrap_plasma,5.32,464,91854.0,591.0071
FEM_orbitrap_urine,5.56,464,91854.0,591.0071
Qtof-PFEM,8.4,464,91854.0,591.0071
INRA_QTOF,8.4,464,91854.0,591.0071
FEM_long,1.1,774,76386.0,82.48468
MTBLS20,0.8,774,76386.0,82.48468
MTBLS87,24.8,774,76386.0,82.48468
RIKEN,0.14,774,76386.0,82.48468
FEM_long,45.58,495539,,886.8758
FEM_long,46.35,227033,,989.2899
FEM_long,28.1,798,116022.0,756.9382
MTBLS38,10.22933344,798,116022.0,756.9382
FEM_long,38.5,72899,44933.0,672.46783
FEM_long,25.12,10256,97955.0,701.8977
LIFE_old,2.274133333,10256,97955.0,701.8977
RIKEN,1.51,10256,97955.0,701.8977
FEM_long,25.59,69867,66566.0,628.7821
MPI_Symmetry,10.48513333,69867,66566.0,628.7821
IPB_Halle,4.7,69867,66566.0,628.7821
FEM_long,30.275,3744,84942.0,662.4383
FEM_long,30.285,803,74027.0,643.59595
FEM_long,24.6,92904,137217.0,635.129
LIFE_new,3.521083333,92904,137217.0,635.129
LIFE_old,2.134483333,92904,137217.0,635.129
FEM_long,6.9,7894,83491.0,89.09774
FEM_long,18.105,77,,609.2487
FEM_long,37.1,5281654,12708.0,812.40295
RIKEN,1.7,5281654,12708.0,812.40295
UniToyama_Atlantis,17.035,5281654,12708.0,812.40295
PFR-TK72,9.25,5281654,12708.0,812.40295
Qtof-PFEM,11.72,5281654,12708.0,812.40295
INRA_QTOF,11.72,5281654,12708.0,812.40295
FEM_long,33.7,557758,,703.93567
FEM_long,36.605,5280863,12709.0,733.47437
LIFE_new,3.882766667,5280863,12709.0,733.47437
LIFE_old,2.7594,5280863,12709.0,733.47437
MTBLS38,9.977029608,5280863,12709.0,733.47437
FEM_orbitrap_plasma,7.315,5280863,12709.0,733.47437
UniToyama_Atlantis,16.655783,5280863,12709.0,733.47437
MPI_Symmetry,13.33588333,5280863,12709.0,733.47437
PFR-TK72,9.01,5280863,12709.0,733.47437
INRA_QTOF,11.6,5280863,12709.0,733.47437
FEM_long,30.675,14185731,63105.0,666.33356
Qtof-PFEM,9.51,14185731,63105.0,666.33356
INRA_QTOF,9.51,14185731,63105.0,666.33356
FEM_long,1.605,1064,,92.845436
FEM_short,1.58,1064,,92.845436
MTBLS87,10.4,1064,,92.845436
MTBLS36,1.924083548,1064,,92.845436
MTBLS36,9.11255196,1064,,92.845436
MTBLS36,1.682322315,1064,,92.845436
FEM_long,1.215,232,152931.0,89.20256
FEM_short,1.2425,232,152931.0,89.20256
FEM_long,1.2,232,152931.0,89.20256
FEM_long,1.51,875,125727.0,530.0299
FEM_long,1.51,875,162956.0,530.0299
FEM_short,1.46,875,125727.0,530.0299
FEM_short,1.46,875,162956.0,530.0299
FEM_long,2.51,612,83682.0,561.7277
FEM_long,34.685,5282154,15186.0,735.2812
FEM_long,2.385,54676860,,644.59766
FEM_long,2.37,54676860,,644.59766
FEM_long,1.275,236,155925.0,560.9346
FEM_long,1.285,424,133964.0,87.33246
FEM_long,1.4,833,,92.22956
FEM_long,1.21,834,153737.0,83.697136
MTBLS38,1.348766722,834,153737.0,83.697136
MTBLS38,1.367481776,834,153737.0,83.697136
FEM_long,1.225,594,159981.0,568.7412
FEM_long,1.315,611,75615.0,83.65718
MTBLS87,12.1,611,75615.0,83.65718
MTBLS36,1.619732795,611,75615.0,83.65718
FEM_long,1.3,738,150554.0,90.958466
FEM_long,3.405,745,118443.0,91.06469
FEM_short,1.696551724,745,118443.0,91.06469
